file_path,category
augmented_audio_dataset\No\pitch_up_738.wav,No
augmented_audio_dataset\Nine\original_690.wav,Nine
augmented_audio_dataset\two\shift_forward_1293.wav,two
augmented_audio_dataset\Learn\volume_up_576.wav,Learn
augmented_audio_dataset\Forward\shift_backward_290.wav,Forward
augmented_audio_dataset\Left\shift_backward_590.wav,Left
augmented_audio_dataset\tree\volume_down_1240.wav,tree
augmented_audio_dataset\Dog\volume_down_120.wav,Dog
augmented_audio_dataset\yes\noise_1470.wav,yes
augmented_audio_dataset\Left\shift_backward_620.wav,Left
augmented_audio_dataset\Stop\speed_up_1143.wav,Stop
augmented_audio_dataset\Bird\reversed_80.wav,Bird
augmented_audio_dataset\two\speed_up_1318.wav,two
augmented_audio_dataset\tree\original_1255.wav,tree
augmented_audio_dataset\Dog\shift_forward_106.wav,Dog
augmented_audio_dataset\Forward\volume_up_327.wav,Forward
augmented_audio_dataset\No\volume_down_737.wav,No
augmented_audio_dataset\Down\original_162.wav,Down
augmented_audio_dataset\visual\noise_1410.wav,visual
augmented_audio_dataset\Sheila\speed_down_1075.wav,Sheila
processed_recorded_audio\On\On_41.wav,On
augmented_audio_dataset\Bird\noise_85.wav,Bird
augmented_audio_dataset\Happy\reversed_445.wav,Happy
augmented_audio_dataset\Left\speed_up_596.wav,Left
processed_recorded_audio\House\House_20.wav,House
augmented_audio_dataset\Marvin\speed_down_635.wav,Marvin
augmented_audio_dataset\Off\speed_down_800.wav,Off
augmented_audio_dataset\two\shift_backward_1282.wav,two
processed_recorded_audio\Four\Four_37.wav,Four
augmented_audio_dataset\Sheila\volume_up_1047.wav,Sheila
augmented_audio_dataset\Bed\original_48.wav,Bed
augmented_audio_dataset\Five\pitch_down_211.wav,Five
augmented_audio_dataset\tree\shift_backward_1234.wav,tree
augmented_audio_dataset\up\pitch_down_1349.wav,up
augmented_audio_dataset\Sheila\pitch_up_1035.wav,Sheila
augmented_audio_dataset\Off\speed_up_789.wav,Off
augmented_audio_dataset\Left\shift_forward_626.wav,Left
augmented_audio_dataset\Off\shift_backward_795.wav,Off
augmented_audio_dataset\two\original_1326.wav,two
augmented_audio_dataset\Nine\original_707.wav,Nine
augmented_audio_dataset\Backward\volume_up_32.wav,Backward
augmented_audio_dataset\Marvin\speed_up_670.wav,Marvin
augmented_audio_dataset\On\shift_backward_831.wav,On
processed_recorded_audio\three\three_22.wav,three
augmented_audio_dataset\Seven\original_989.wav,Seven
augmented_audio_dataset\Happy\volume_up_476.wav,Happy
augmented_audio_dataset\visual\speed_down_1435.wav,visual
augmented_audio_dataset\Go\pitch_down_420.wav,Go
augmented_audio_dataset\Six\volume_down_1110.wav,Six
augmented_audio_dataset\Four\volume_down_369.wav,Four
augmented_audio_dataset\two\pitch_down_1331.wav,two
augmented_audio_dataset\On\shift_backward_848.wav,On
augmented_audio_dataset\zero\shift_backward_1532.wav,zero
augmented_audio_dataset\Forward\pitch_down_321.wav,Forward
augmented_audio_dataset\wow\original_1450.wav,wow
augmented_audio_dataset\No\original_737.wav,No
augmented_audio_dataset\Nine\speed_up_702.wav,Nine
augmented_audio_dataset\Off\reversed_790.wav,Off
augmented_audio_dataset\One\shift_forward_916.wav,One
processed_recorded_audio\two\two_19.wav,two
augmented_audio_dataset\Marvin\speed_down_645.wav,Marvin
augmented_audio_dataset\Marvin\noise_660.wav,Marvin
augmented_audio_dataset\Four\speed_down_347.wav,Four
augmented_audio_dataset\Nine\reversed_703.wav,Nine
augmented_audio_dataset\Right\volume_up_937.wav,Right
augmented_audio_dataset\wow\noise_1451.wav,wow
augmented_audio_dataset\Stop\pitch_down_1156.wav,Stop
augmented_audio_dataset\zero\pitch_down_1516.wav,zero
processed_recorded_audio\zero\zero_27.wav,zero
augmented_audio_dataset\Seven\volume_down_1020.wav,Seven
processed_recorded_audio\tree\tree_42.wav,tree
augmented_audio_dataset\Right\volume_down_956.wav,Right
augmented_audio_dataset\Forward\original_319.wav,Forward
augmented_audio_dataset\zero\volume_up_1517.wav,zero
augmented_audio_dataset\Five\shift_backward_222.wav,Five
augmented_audio_dataset\Happy\volume_down_475.wav,Happy
augmented_audio_dataset\Go\pitch_down_426.wav,Go
augmented_audio_dataset\Nine\volume_up_698.wav,Nine
augmented_audio_dataset\Nine\pitch_down_723.wav,Nine
augmented_audio_dataset\Stop\noise_1155.wav,Stop
augmented_audio_dataset\Backward\shift_forward_32.wav,Backward
augmented_audio_dataset\House\noise_523.wav,House
augmented_audio_dataset\Five\pitch_up_222.wav,Five
augmented_audio_dataset\Off\pitch_down_778.wav,Off
processed_recorded_audio\Stop\Stop_19.wav,Stop
augmented_audio_dataset\up\pitch_up_1359.wav,up
augmented_audio_dataset\Marvin\pitch_up_653.wav,Marvin
augmented_audio_dataset\tree\reversed_1235.wav,tree
augmented_audio_dataset\Off\shift_backward_810.wav,Off
augmented_audio_dataset\No\volume_up_765.wav,No
augmented_audio_dataset\three\original_1184.wav,three
augmented_audio_dataset\tree\pitch_up_1257.wav,tree
augmented_audio_dataset\three\original_1207.wav,three
augmented_audio_dataset\On\volume_up_870.wav,On
augmented_audio_dataset\Forward\noise_293.wav,Forward
processed_recorded_audio\No\No_24.wav,No
augmented_audio_dataset\two\volume_up_1334.wav,two
augmented_audio_dataset\Nine\speed_up_684.wav,Nine
augmented_audio_dataset\Marvin\pitch_up_657.wav,Marvin
augmented_audio_dataset\Forward\pitch_up_331.wav,Forward
augmented_audio_dataset\Go\original_420.wav,Go
processed_recorded_audio\Follow\Follow_17.wav,Follow
augmented_audio_dataset\Sheila\pitch_up_1058.wav,Sheila
augmented_audio_dataset\Bed\noise_45.wav,Bed
augmented_audio_dataset\Dog\noise_122.wav,Dog
augmented_audio_dataset\Backward\pitch_up_7.wav,Backward
augmented_audio_dataset\Go\pitch_up_415.wav,Go
augmented_audio_dataset\Backward\volume_down_6.wav,Backward
processed_recorded_audio\Dog\Dog_22.wav,Dog
augmented_audio_dataset\tree\pitch_down_1274.wav,tree
augmented_audio_dataset\visual\shift_forward_1439.wav,visual
augmented_audio_dataset\Six\reversed_1109.wav,Six
augmented_audio_dataset\One\pitch_up_901.wav,One
augmented_audio_dataset\zero\speed_up_1531.wav,zero
augmented_audio_dataset\Sheila\volume_down_1048.wav,Sheila
augmented_audio_dataset\Stop\speed_up_1160.wav,Stop
processed_recorded_audio\Seven\Seven_35.wav,Seven
augmented_audio_dataset\Happy\pitch_down_469.wav,Happy
augmented_audio_dataset\No\volume_down_771.wav,No
processed_recorded_audio\Backward\Backward_06.wav,Backward
augmented_audio_dataset\Stop\volume_down_1166.wav,Stop
augmented_audio_dataset\Stop\pitch_up_1161.wav,Stop
augmented_audio_dataset\Eight\reversed_183.wav,Eight
augmented_audio_dataset\Dog\volume_up_129.wav,Dog
augmented_audio_dataset\House\volume_up_534.wav,House
augmented_audio_dataset\two\volume_down_1323.wav,two
augmented_audio_dataset\Stop\reversed_1123.wav,Stop
augmented_audio_dataset\Go\volume_down_426.wav,Go
augmented_audio_dataset\Follow\shift_forward_286.wav,Follow
augmented_audio_dataset\Left\shift_backward_631.wav,Left
augmented_audio_dataset\Marvin\speed_up_674.wav,Marvin
augmented_audio_dataset\three\reversed_1210.wav,three
augmented_audio_dataset\Happy\shift_backward_458.wav,Happy
augmented_audio_dataset\Go\shift_backward_436.wav,Go
augmented_audio_dataset\yes\speed_up_1464.wav,yes
augmented_audio_dataset\Seven\shift_forward_983.wav,Seven
augmented_audio_dataset\two\original_1300.wav,two
augmented_audio_dataset\House\noise_499.wav,House
augmented_audio_dataset\Backward\volume_up_15.wav,Backward
augmented_audio_dataset\No\speed_up_732.wav,No
augmented_audio_dataset\yes\shift_forward_1495.wav,yes
augmented_audio_dataset\Stop\shift_forward_1149.wav,Stop
augmented_audio_dataset\three\speed_up_1202.wav,three
processed_recorded_audio\two\two_17.wav,two
augmented_audio_dataset\Five\shift_forward_243.wav,Five
augmented_audio_dataset\Left\volume_down_582.wav,Left
augmented_audio_dataset\two\original_1330.wav,two
augmented_audio_dataset\Five\reversed_211.wav,Five
augmented_audio_dataset\Sheila\volume_up_1044.wav,Sheila
augmented_audio_dataset\Bed\shift_backward_38.wav,Bed
augmented_audio_dataset\Sheila\pitch_down_1079.wav,Sheila
augmented_audio_dataset\Left\pitch_up_601.wav,Left
augmented_audio_dataset\Six\speed_down_1096.wav,Six
augmented_audio_dataset\House\shift_forward_512.wav,House
augmented_audio_dataset\Left\speed_down_600.wav,Left
augmented_audio_dataset\Right\noise_944.wav,Right
augmented_audio_dataset\Nine\speed_up_721.wav,Nine
augmented_audio_dataset\One\speed_down_880.wav,One
augmented_audio_dataset\Six\reversed_1114.wav,Six
augmented_audio_dataset\Bird\pitch_up_76.wav,Bird
processed_recorded_audio\zero\zero_20.wav,zero
augmented_audio_dataset\Nine\shift_backward_708.wav,Nine
augmented_audio_dataset\No\pitch_up_768.wav,No
augmented_audio_dataset\House\shift_forward_549.wav,House
augmented_audio_dataset\tree\volume_up_1248.wav,tree
augmented_audio_dataset\Four\speed_up_369.wav,Four
augmented_audio_dataset\On\speed_up_829.wav,On
augmented_audio_dataset\yes\pitch_up_1490.wav,yes
augmented_audio_dataset\Left\reversed_587.wav,Left
processed_recorded_audio\Eight\Eight_09.wav,Eight
augmented_audio_dataset\zero\volume_down_1517.wav,zero
augmented_audio_dataset\Marvin\shift_backward_650.wav,Marvin
augmented_audio_dataset\Go\shift_backward_430.wav,Go
augmented_audio_dataset\On\volume_down_834.wav,On
augmented_audio_dataset\up\shift_backward_1400.wav,up
augmented_audio_dataset\On\speed_up_855.wav,On
augmented_audio_dataset\One\original_916.wav,One
augmented_audio_dataset\Marvin\shift_forward_647.wav,Marvin
augmented_audio_dataset\Bird\original_71.wav,Bird
augmented_audio_dataset\Eight\reversed_198.wav,Eight
augmented_audio_dataset\Marvin\pitch_up_680.wav,Marvin
processed_recorded_audio\On\On_20.wav,On
augmented_audio_dataset\Sheila\speed_down_1050.wav,Sheila
augmented_audio_dataset\Down\shift_forward_145.wav,Down
augmented_audio_dataset\Stop\reversed_1175.wav,Stop
augmented_audio_dataset\Left\pitch_up_621.wav,Left
augmented_audio_dataset\Left\reversed_624.wav,Left
augmented_audio_dataset\Stop\noise_1127.wav,Stop
augmented_audio_dataset\up\pitch_up_1347.wav,up
augmented_audio_dataset\Learn\shift_forward_569.wav,Learn
processed_recorded_audio\three\three_08.wav,three
augmented_audio_dataset\up\speed_up_1391.wav,up
augmented_audio_dataset\No\speed_down_739.wav,No
augmented_audio_dataset\Five\volume_down_216.wav,Five
augmented_audio_dataset\zero\speed_down_1511.wav,zero
augmented_audio_dataset\Happy\speed_down_452.wav,Happy
augmented_audio_dataset\House\pitch_down_547.wav,House
augmented_audio_dataset\two\speed_up_1332.wav,two
augmented_audio_dataset\Five\volume_up_225.wav,Five
augmented_audio_dataset\Forward\reversed_303.wav,Forward
augmented_audio_dataset\Seven\volume_down_1022.wav,Seven
augmented_audio_dataset\Marvin\speed_down_658.wav,Marvin
augmented_audio_dataset\three\volume_up_1183.wav,three
processed_recorded_audio\Stop\Stop_26.wav,Stop
augmented_audio_dataset\Off\volume_down_794.wav,Off
augmented_audio_dataset\Off\volume_up_803.wav,Off
augmented_audio_dataset\One\reversed_887.wav,One
augmented_audio_dataset\Bird\speed_down_98.wav,Bird
augmented_audio_dataset\On\pitch_down_847.wav,On
augmented_audio_dataset\Four\pitch_down_382.wav,Four
augmented_audio_dataset\zero\pitch_up_1535.wav,zero
processed_recorded_audio\Sheila\Sheila_35.wav,Sheila
augmented_audio_dataset\Go\volume_down_407.wav,Go
augmented_audio_dataset\Bed\reversed_41.wav,Bed
augmented_audio_dataset\Forward\noise_303.wav,Forward
augmented_audio_dataset\Six\shift_forward_1118.wav,Six
augmented_audio_dataset\Six\noise_1114.wav,Six
augmented_audio_dataset\One\shift_backward_914.wav,One
augmented_audio_dataset\Dog\original_131.wav,Dog
augmented_audio_dataset\three\pitch_down_1219.wav,three
augmented_audio_dataset\Learn\reversed_552.wav,Learn
processed_recorded_audio\Off\Off_26.wav,Off
augmented_audio_dataset\zero\noise_1525.wav,zero
augmented_audio_dataset\Left\pitch_down_629.wav,Left
processed_recorded_audio\three\three_15.wav,three
augmented_audio_dataset\Off\speed_up_811.wav,Off
augmented_audio_dataset\three\pitch_down_1177.wav,three
augmented_audio_dataset\Sheila\volume_down_1040.wav,Sheila
augmented_audio_dataset\Backward\noise_31.wav,Backward
augmented_audio_dataset\Sheila\volume_up_1036.wav,Sheila
augmented_audio_dataset\three\speed_down_1217.wav,three
augmented_audio_dataset\Right\volume_up_950.wav,Right
augmented_audio_dataset\Four\noise_355.wav,Four
augmented_audio_dataset\No\noise_750.wav,No
augmented_audio_dataset\two\reversed_1290.wav,two
augmented_audio_dataset\Marvin\noise_662.wav,Marvin
augmented_audio_dataset\Right\speed_down_944.wav,Right
augmented_audio_dataset\up\original_1379.wav,up
augmented_audio_dataset\Seven\volume_down_1027.wav,Seven
augmented_audio_dataset\Marvin\pitch_up_681.wav,Marvin
augmented_audio_dataset\wow\volume_up_1453.wav,wow
augmented_audio_dataset\Off\speed_up_810.wav,Off
augmented_audio_dataset\Five\volume_down_242.wav,Five
augmented_audio_dataset\House\noise_544.wav,House
augmented_audio_dataset\No\pitch_up_740.wav,No
augmented_audio_dataset\yes\speed_up_1490.wav,yes
augmented_audio_dataset\Five\original_209.wav,Five
augmented_audio_dataset\up\noise_1397.wav,up
augmented_audio_dataset\Down\noise_154.wav,Down
augmented_audio_dataset\tree\pitch_up_1248.wav,tree
augmented_audio_dataset\three\pitch_down_1204.wav,three
augmented_audio_dataset\Go\speed_down_415.wav,Go
augmented_audio_dataset\visual\speed_up_1412.wav,visual
augmented_audio_dataset\Off\shift_forward_815.wav,Off
augmented_audio_dataset\up\speed_down_1360.wav,up
augmented_audio_dataset\Off\speed_up_817.wav,Off
augmented_audio_dataset\Follow\speed_down_278.wav,Follow
augmented_audio_dataset\Forward\speed_up_306.wav,Forward
augmented_audio_dataset\No\reversed_743.wav,No
augmented_audio_dataset\Nine\reversed_698.wav,Nine
augmented_audio_dataset\visual\speed_down_1409.wav,visual
augmented_audio_dataset\Six\noise_1103.wav,Six
augmented_audio_dataset\Bed\reversed_40.wav,Bed
augmented_audio_dataset\Four\speed_up_363.wav,Four
augmented_audio_dataset\Dog\speed_up_107.wav,Dog
augmented_audio_dataset\up\volume_up_1400.wav,up
augmented_audio_dataset\two\speed_down_1319.wav,two
augmented_audio_dataset\two\speed_down_1306.wav,two
augmented_audio_dataset\wow\original_1448.wav,wow
augmented_audio_dataset\Stop\original_1165.wav,Stop
