file_path,category,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
augmented_audio_dataset\Go\noise_395.wav,Go,-315.91446,3.5856779,0.77118003,1.8202101,-1.5952466,0.27969104,-1.9239638,0.7151188,-1.7203493,0.39040604,-2.0191195,0.7421526,-1.1472528,1.7084742
augmented_audio_dataset\Dog\original_104.wav,Dog,-493.73636,12.785306,0.36530882,-1.6063931,-0.8729476,-1.0333412,-1.1062317,-1.1366806,-2.2127972,-1.4713479,-0.000124986,-0.23422256,-1.1249058,0.01067503
augmented_audio_dataset\three\pitch_up_1222.wav,three,-494.04434,9.192252,2.8741708,2.643734,-1.0113028,-0.022612456,-1.2591037,-1.0113997,-2.5103524,-1.1866899,-0.54478204,-0.98956054,-1.1457486,0.79911464
processed_recorded_audio\Four\Four_21.wav,Four,-512.0344,17.40173,0.5584583,-2.9844959,2.0009181,-2.2914078,-1.2265869,0.6095364,1.1513965,-2.4246256,0.07360861,1.5845163,-0.9359168,0.85040855
augmented_audio_dataset\On\speed_up_847.wav,On,-513.138,14.221653,1.86746,0.646982,0.4151622,0.528485,0.7064734,0.942002,0.27501932,0.9260192,0.30602565,0.23710448,0.49706617,0.24236925
augmented_audio_dataset\yes\noise_1494.wav,yes,-389.4925,3.6887107,-0.18082163,2.8184156,-1.5562975,-0.4171023,-2.667899,1.80265,-3.0323524,0.790048,-1.344347,0.851239,-0.34729928,0.6428332
augmented_audio_dataset\No\volume_up_730.wav,No,-537.1419,14.544883,-0.1959298,5.827729,0.7885174,-2.0887446,0.6839838,-0.11405471,0.24836339,0.7244598,1.662787,-0.97531265,-2.1236944,1.091324
augmented_audio_dataset\up\volume_up_1384.wav,up,-535.87146,9.315459,-1.736013,-0.6893852,-3.1334903,0.49267545,0.31184027,-1.2002157,-0.77810436,-0.14522041,-0.06300767,0.07610113,-0.74233156,-1.1915913
augmented_audio_dataset\House\reversed_509.wav,House,-498.94925,9.010543,2.7547534,1.1479665,-0.49807593,0.95174,1.3859386,-1.5794948,0.27296466,0.49928528,-1.9276419,1.8110934,-1.3904451,0.54189885
augmented_audio_dataset\One\noise_890.wav,One,-273.6884,2.9532912,0.3851036,2.3963513,-0.2966549,1.8976285,-1.1486862,1.1464438,-1.996226,0.9736493,-1.2371966,1.0943676,-0.8789571,1.4731121
augmented_audio_dataset\Four\noise_371.wav,Four,-300.26718,4.918999,0.9750887,1.9812557,-1.1010984,0.8690613,-1.5917048,0.6731148,-1.8197459,0.6513497,-1.4629372,1.2451473,-1.5529526,1.3613689
augmented_audio_dataset\wow\volume_down_1454.wav,wow,-461.44647,41.48339,0.031370174,-2.8275394,-10.968407,0.53124493,0.3625823,-2.2696996,-3.0610652,-1.0492631,-2.774996,-0.74789023,-0.62753624,-1.642327
augmented_audio_dataset\Happy\pitch_up_446.wav,Happy,-542.8299,11.578287,0.22415724,8.195255,1.0907674,-4.056405,-0.8724681,0.5337643,-0.2964616,-1.6128848,0.3195408,-0.24692401,-0.87084687,2.3363974
augmented_audio_dataset\Right\original_952.wav,Right,-516.6642,10.41531,-0.72362393,3.3235326,2.712424,-2.1773188,-1.0299342,-0.014583524,-0.2643516,-0.74425405,-0.5233429,1.0569104,-0.24316914,0.70689636
augmented_audio_dataset\two\volume_up_1295.wav,two,-433.59265,9.192039,4.601307,-0.19666748,-1.2470388,-0.26892334,1.653198,-3.0020988,-1.0824336,-1.5395378,-3.2569249,-0.35484555,-2.87885,2.262567
augmented_audio_dataset\Down\pitch_down_170.wav,Down,-503.0692,15.2956295,3.2313912,2.7692738,0.5421712,-1.1475213,-2.4902234,0.3676096,-2.4922707,-1.149215,-1.5887302,-1.4501735,-2.2757838,-0.31918004
processed_recorded_audio\zero\zero_22.wav,zero,-304.94522,98.111725,1.6311249,8.718795,-3.4022975,7.7408547,-14.296237,-2.6644,-14.369681,-13.120692,-2.25397,-11.104505,0.75635195,2.8247023
augmented_audio_dataset\visual\volume_up_1440.wav,visual,-423.77917,36.90586,1.3456886,7.082994,0.9402596,0.3341065,-8.118451,2.7308135,-6.418622,-1.3572108,-5.4340158,0.07474342,-4.6816664,1.1145498
augmented_audio_dataset\two\shift_forward_1289.wav,two,-435.1457,10.857937,5.7357216,0.41539007,-1.6956153,-0.5170089,1.7408555,-3.3852065,-0.9441405,-2.0732121,-3.037452,-0.93867415,-3.137014,2.1726685
augmented_audio_dataset\Follow\shift_backward_261.wav,Follow,-554.8478,16.636837,0.60058594,-0.82075685,-1.8154093,-2.516029,0.29519624,-0.9443066,-2.9933348,-1.5922729,-0.40248144,-0.64568883,-0.90208006,-0.15655865
augmented_audio_dataset\Left\pitch_up_616.wav,Left,-535.02356,5.1664596,-0.5830231,3.9476292,-0.20445533,1.5324184,-1.7940103,-1.7914342,0.9420756,-0.591495,0.41887125,-0.17143871,0.54694825,0.8694088
augmented_audio_dataset\Stop\volume_up_1175.wav,Stop,-508.99304,12.108358,4.4721518,3.805428,0.2913614,0.59516996,1.0383544,-0.03651094,0.07398615,0.036090646,1.0218034,1.4884835,-0.0984645,0.809285
augmented_audio_dataset\Forward\shift_backward_301.wav,Forward,-453.55368,22.473402,-1.6061208,-1.4205301,4.3915844,-0.75677985,-1.9981709,-2.4150488,-0.8799938,-1.6608329,-0.57273835,3.6335738,-0.053960595,0.8835303
augmented_audio_dataset\Learn\speed_up_559.wav,Learn,-540.0939,15.109103,1.4135249,3.430005,1.491316,0.14833456,-0.42233467,-0.97226983,-0.45489746,0.18609458,0.3956218,-0.32771835,-2.2285194,0.22903018
processed_recorded_audio\zero\zero_19.wav,zero,-496.45193,12.877868,-0.21564192,3.4166517,-2.036692,1.4880784,-1.9734318,-0.3406263,-2.549438,-2.2505264,-0.06880775,-1.4197962,-0.17512134,0.41606733
augmented_audio_dataset\visual\volume_down_1424.wav,visual,-500.69238,13.200844,-1.0071805,4.651917,1.1827173,-1.1347837,-1.3005137,0.3969204,-2.4191344,-0.31983256,-3.2085345,0.79437256,-0.9412043,0.31692028
augmented_audio_dataset\tree\noise_1249.wav,tree,-401.06168,4.8891144,-0.9636355,8.5591135,-1.4012425,-1.941622,-0.67043495,-0.15955085,-3.5643125,-0.22989815,-1.6894189,-0.9533258,-2.3505266,1.2515372
augmented_audio_dataset\Happy\pitch_down_456.wav,Happy,-474.2822,11.480974,-0.16532847,5.8559275,5.5069394,0.46001625,-3.5544033,0.14923555,-0.12912372,0.5240204,-1.839993,1.2134268,-0.36130628,-1.0173321
augmented_audio_dataset\Bed\original_41.wav,Bed,-536.1875,11.208974,-0.43946993,3.3567147,2.2508452,-2.6918736,-2.5022948,0.07525762,0.25111735,-0.79889977,-0.039056145,0.6318934,-0.6080874,0.16602401
augmented_audio_dataset\Nine\pitch_up_697.wav,Nine,-547.4709,11.740824,-0.95109314,9.878539,-1.5802726,-0.055769254,2.3720384,-1.1854091,0.16435567,-0.11680297,-0.38356853,-1.5422173,0.69346756,0.3060112
augmented_audio_dataset\zero\noise_1533.wav,zero,-395.4553,9.8241,-0.12500194,3.500709,-1.4320965,-0.01138094,-2.5378482,-0.46366835,-3.9041195,-0.5632958,-1.9131563,-0.04604444,-1.5009618,1.0794709
augmented_audio_dataset\up\speed_up_1388.wav,up,-554.1157,9.14062,-1.5754131,-0.4143566,-2.7304246,-0.08882521,0.8263983,-1.4943496,-0.4601854,-0.12267307,0.36829418,-0.39967448,0.03112383,-1.2711575
augmented_audio_dataset\House\volume_down_505.wav,House,-523.6836,11.2759075,1.7330575,0.36399084,-0.023962239,-0.21002749,1.9291759,-0.9744114,0.3629071,-0.15914835,-0.94993025,1.2827083,-1.1495445,0.17383021
augmented_audio_dataset\Seven\pitch_down_1024.wav,Seven,-515.05286,10.20042,1.882057,4.6545086,3.4705694,1.7051771,-1.4209428,-1.0336576,-1.5700219,1.4276685,-1.2438804,1.2550832,-1.241095,1.0101303
processed_recorded_audio\Follow\Follow_29.wav,Follow,-462.09018,13.682157,0.94289756,0.12055063,-1.9656838,-2.913447,-1.2681584,-1.5049348,-2.2467158,-1.8521812,-1.6727703,-0.44336492,-1.1398597,0.82176906
augmented_audio_dataset\up\pitch_down_1354.wav,up,-536.9277,9.116073,-0.5975793,-0.3616205,-3.8568373,-0.26193386,1.8361865,-1.0372356,-0.60974663,-0.33647224,-0.046233542,-0.4355603,-0.36887202,-0.3646308
augmented_audio_dataset\On\speed_down_832.wav,On,-508.09918,19.906652,3.2977438,0.56753004,0.12622213,0.2929613,-0.014157957,0.7209081,-0.29313135,0.025287952,0.013784809,0.5548593,0.75626105,0.8533191
augmented_audio_dataset\Follow\shift_forward_261.wav,Follow,-551.9202,16.497139,0.5104407,-0.9017373,-1.8264576,-2.5325737,0.28130493,-0.92435604,-2.9382708,-1.5278857,-0.37000477,-0.61939466,-0.8656507,-0.13363644
augmented_audio_dataset\On\shift_forward_864.wav,On,-509.17706,15.5501,1.3983629,-0.20324664,-0.8665645,-0.6059795,0.82700384,0.18520302,-0.3085438,0.502858,-0.38723668,0.99995565,0.13301498,0.8060811
augmented_audio_dataset\Bird\speed_up_97.wav,Bird,-510.13794,16.787613,1.4879519,0.4147679,1.4634156,-1.6389838,-0.48291007,-2.5775898,-1.9286617,-2.410703,-0.9346238,-0.5795373,-2.222448,-0.13351084
augmented_audio_dataset\Follow\speed_up_250.wav,Follow,-500.543,14.012838,0.46438923,-1.1909788,-2.5395002,-3.3789902,-1.6679367,-0.3242665,-2.4430518,-1.7760943,-1.101553,0.017690992,-0.7190866,0.8847561
augmented_audio_dataset\No\reversed_745.wav,No,-531.95123,13.5061455,2.881183,5.3130207,-2.355295,-1.2106782,4.267267,-3.595892,0.44274756,2.2794807,0.144268,-0.27262267,-1.3256966,2.0490537
augmented_audio_dataset\House\shift_forward_514.wav,House,-527.90375,12.357114,5.0891795,1.4243498,-4.096401,-0.47833496,2.152852,0.16982274,-0.590853,-0.5553082,-0.22982074,0.6124539,-0.8067701,1.0315408
augmented_audio_dataset\tree\shift_backward_1261.wav,tree,-461.81668,7.1754346,1.8943563,4.987413,-0.9303442,-0.76726097,-0.29064932,-2.2908978,-0.8772195,-2.9360545,-0.7866341,-1.1434059,-0.9016249,1.2110151
augmented_audio_dataset\Off\volume_up_781.wav,Off,-477.22702,10.197491,3.3395472,-0.40109482,-2.4767733,-0.97122175,1.0209104,0.09630544,0.22691916,-0.80941135,0.32688686,1.0069467,0.25759223,1.4907148
augmented_audio_dataset\Right\noise_965.wav,Right,-299.73776,2.7352467,-0.6563948,2.3179908,-0.16238095,0.46560478,-2.2174232,1.2432029,-1.2844609,1.2566978,-0.7373417,1.6869742,-0.8043533,1.5486315
augmented_audio_dataset\One\speed_down_891.wav,One,-478.23297,17.441141,3.619587,3.075336,1.674022,1.0659268,0.7972274,-0.008287004,-0.15456235,-0.4819356,-0.49095246,-0.13466397,-0.017746883,0.9859384
processed_recorded_audio\Left\Left_48.wav,Left,-565.92,7.596188,-1.0384114,6.207968,0.3286938,2.4402668,-0.48386544,-3.1723268,0.5211387,1.381322,-0.31633484,0.893817,-0.94727105,1.7114664
augmented_audio_dataset\Stop\noise_1143.wav,Stop,-319.01422,2.3739953,0.051195316,1.1723197,-2.053843,0.7274816,-1.1232382,0.64547926,-1.7414895,0.89647794,-1.2908152,1.5296607,-0.6639003,1.3307663
augmented_audio_dataset\Follow\volume_down_252.wav,Follow,-478.97772,15.242362,0.7680285,-1.1104741,-2.7708104,-2.6161761,-1.307753,-0.938703,-2.870642,-1.6646892,-0.62196505,-0.04962394,-0.7613533,0.44541907
augmented_audio_dataset\Stop\shift_forward_1125.wav,Stop,-483.21835,10.171873,2.3057287,0.87338626,-0.3661503,-0.969869,0.11618557,-0.058931947,-0.41328946,-0.14342882,0.4983922,1.0906628,-0.34986314,1.4107773
processed_recorded_audio\Right\Right_46.wav,Right,-483.967,11.184861,0.14151576,3.5764775,3.4569457,-2.532909,-2.0870996,-0.22742346,-0.9982351,0.006037038,0.8307307,-0.08681697,0.05675582,0.437066
augmented_audio_dataset\Happy\speed_up_486.wav,Happy,-525.5593,12.3425665,1.4598665,5.340494,3.8956316,-1.9759747,-2.6838503,-0.029770056,0.35937572,-0.44858822,-0.8931154,0.9119776,-1.6183182,1.1053827
augmented_audio_dataset\Bird\pitch_up_84.wav,Bird,-491.19955,15.977778,-0.29430622,-0.5994379,-0.052303508,-0.90900844,-1.7858255,-2.7141984,-2.123365,-0.90991044,0.33763847,-0.46929553,-1.0484891,-0.8567602
augmented_audio_dataset\Five\speed_down_208.wav,Five,-494.6459,9.823414,-2.014995,2.1002703,-0.5931008,-2.1732676,-2.3870633,-0.5747408,-1.4007183,-0.9579593,-0.596287,-0.20743048,-1.168345,-0.07930573
augmented_audio_dataset\tree\original_1274.wav,tree,-481.67575,4.772048,1.5289315,7.5195217,-2.0465884,0.66915303,0.16878039,-1.2846035,-1.5054029,-2.754476,-0.6868604,-1.670657,-0.8037037,0.6364544
augmented_audio_dataset\Four\noise_361.wav,Four,-284.34363,3.1306608,1.0357275,2.4234672,-1.0743175,1.1847588,-1.6293085,0.9486327,-1.7149513,0.5457756,-2.0339794,1.2949466,-0.81385964,1.442504
augmented_audio_dataset\Learn\volume_up_561.wav,Learn,-481.50696,18.48865,-0.56398284,2.7792532,3.6555076,2.0206163,-3.8750474,-2.5909786,-0.6656212,-0.4202914,-0.8002512,0.69604504,-1.2720273,-0.4266029
augmented_audio_dataset\tree\speed_down_1236.wav,tree,-485.92786,9.3308,0.019861817,9.206896,-2.9725833,-0.08950563,-0.24987681,-1.6907777,-2.807183,-3.7629325,0.36166245,-2.9933445,-1.234112,1.1644665
augmented_audio_dataset\zero\speed_up_1533.wav,zero,-527.672,14.523312,-1.2184739,2.9893045,-0.8861214,0.24461511,-1.6597345,-0.83993757,-2.524584,-1.465448,-0.32921436,-1.2205031,0.04776557,0.35981375
augmented_audio_dataset\Right\pitch_up_970.wav,Right,-473.79315,10.911293,0.15933968,4.132407,1.508324,-3.674748,-1.1084824,-0.062738165,-0.5551558,0.5807809,0.27877855,-0.19711073,0.53782845,0.13053842
augmented_audio_dataset\Sheila\shift_forward_1046.wav,Sheila,-491.78967,14.695916,0.8339797,2.2569652,-1.1719605,-1.133352,0.9164977,-0.7821239,-1.1262212,0.5101812,0.566939,0.49741748,0.9129011,0.6420384
augmented_audio_dataset\No\shift_backward_747.wav,No,-524.981,13.912349,0.7862637,6.5257683,-2.4257522,-0.81987226,3.6648035,-2.9329934,1.090199,1.4905287,-0.26958728,-0.088736676,-1.2812053,2.1435294
augmented_audio_dataset\zero\noise_1507.wav,zero,-380.37854,9.448363,1.7965511,4.781222,-3.328335,0.5350992,-2.4769907,-0.4044491,-3.7824516,-1.50301,-1.8816633,-1.1438079,-2.0171072,1.8309194
augmented_audio_dataset\One\volume_down_911.wav,One,-504.4592,14.368499,1.9232554,1.3960778,0.6651009,0.13556486,0.043062054,-0.8308221,-0.58794856,-0.55936027,-0.34537932,0.41720867,0.26016527,0.7143276
augmented_audio_dataset\Seven\speed_down_984.wav,Seven,-499.08176,12.979986,2.3200397,3.9560826,3.6529374,-0.39056474,-2.3093631,-1.532419,0.65126026,0.8897756,0.42455986,1.4372247,-0.43035534,2.6588936
augmented_audio_dataset\Bed\speed_up_37.wav,Bed,-518.0271,9.830145,0.348231,2.7326992,2.857919,-1.6744668,-3.4207432,-1.8390895,1.8307713,0.2523878,-1.016802,0.52028704,-0.82189804,0.35582674
augmented_audio_dataset\No\volume_down_765.wav,No,-512.92065,12.373575,2.1764457,2.0573766,0.098443314,-1.1964917,2.2706828,-2.38889,1.6887932,0.3301073,-0.010900996,0.63800156,-1.099697,0.7165903
augmented_audio_dataset\Stop\reversed_1172.wav,Stop,-519.9727,9.753117,1.8547956,1.5298098,-2.0533066,-0.22488277,1.2523417,-1.2530215,-0.618667,0.6768594,-0.080810726,0.6737138,0.51173335,0.114496
augmented_audio_dataset\Marvin\speed_up_663.wav,Marvin,-498.49646,14.83388,-1.1948375,5.911167,2.0356658,-0.052362334,-0.49674085,-3.3585894,-0.45707488,1.4596637,-1.0170412,-0.67889285,-1.5038236,-0.052987467
augmented_audio_dataset\Five\volume_down_240.wav,Five,-437.63464,9.406685,-2.1920695,2.0478227,0.086561084,-1.7660831,-2.6854293,-0.5695687,-1.5525017,-1.3365111,-0.32921398,0.98151463,-1.1356553,-0.5822931
augmented_audio_dataset\Seven\shift_forward_1003.wav,Seven,-471.9548,9.168321,2.7899668,3.324448,1.2735388,0.08295215,-0.9103108,-0.72912085,0.20491636,0.4646407,1.2164937,-0.7609738,0.16841647,1.8117096
augmented_audio_dataset\Backward\reversed_25.wav,Backward,-469.79105,22.177368,1.0583572,-0.6250133,-0.13532002,-2.604343,-2.3023887,-2.185076,-2.4531305,-2.2583213,-1.4435757,-0.5641547,-0.9045851,-0.06590893
augmented_audio_dataset\yes\reversed_1495.wav,yes,-484.22095,7.4546876,1.0325195,3.8556335,-1.1996306,-1.0074308,-1.9174142,0.21356213,-2.0061114,-1.4940726,-0.26474354,-0.7032881,0.121432416,0.02947842
augmented_audio_dataset\Marvin\speed_up_681.wav,Marvin,-519.57367,16.897293,-1.282017,6.4119773,2.7837577,-0.2568656,0.63902456,-3.7599313,-0.87484914,1.9553441,-0.7604382,-1.1679523,-0.55801845,0.37828425
augmented_audio_dataset\up\original_1370.wav,up,-543.6871,8.593117,-1.5796316,-0.68933076,-3.410576,0.7519802,0.324534,-1.5858414,-0.6380961,0.22074828,0.13673608,-0.47464204,-0.66919404,-1.1819028
augmented_audio_dataset\Seven\pitch_down_1010.wav,Seven,-489.20273,9.942002,1.9669244,3.6190605,1.3732256,2.1469953,-1.4135268,-1.4358281,-0.8497852,1.2532138,-0.25887468,1.258512,-0.97662383,0.91861856
augmented_audio_dataset\Sheila\shift_forward_1040.wav,Sheila,-473.0099,11.852135,0.033396315,2.7379737,0.051889032,-0.31486943,-1.5283362,-1.429948,-0.6965827,0.56497914,2.053312,0.25131944,0.42413947,1.7599207
augmented_audio_dataset\Five\pitch_up_208.wav,Five,-522.8327,7.5808043,-1.7022567,1.347556,-1.5785978,-2.4300785,-1.380074,-0.4869894,-0.9794313,-0.4546641,-0.11145497,-0.9030705,-0.40256748,-0.23085493
processed_recorded_audio\two\two_38.wav,two,-436.86118,12.87158,3.6670895,0.63079005,-2.993639,1.0303763,0.34232113,-2.8426487,0.23166282,-3.3790424,-1.6008371,-1.4546013,-2.1788154,1.0644782
augmented_audio_dataset\up\noise_1364.wav,up,-429.0471,4.231614,-1.6762913,0.20545517,-3.7145748,1.6800805,-1.4628886,0.49240112,-2.0347629,0.4297286,-0.68443465,-0.039648376,-1.634164,0.772274
augmented_audio_dataset\two\speed_up_1315.wav,two,-456.30594,10.057239,4.92468,0.18595463,-1.7314835,0.42737782,1.2483515,-2.9358253,0.7258318,-3.2407734,-1.5405109,-1.9264923,-2.2658782,0.8820511
augmented_audio_dataset\On\speed_up_866.wav,On,-508.16183,13.700186,1.7668017,1.3892351,-0.032954354,-0.23853154,0.9650418,-0.11806357,0.4231384,0.88944864,-0.2910053,0.98840237,0.43093076,0.58408475
processed_recorded_audio\Happy\Happy_10.wav,Happy,-561.8384,11.596598,1.358906,7.8012896,3.7059972,-2.3241591,-1.78377,-0.4546454,-0.065752536,-0.5003529,-1.7887807,1.4135256,-1.6147826,0.15460144
augmented_audio_dataset\tree\shift_forward_1245.wav,tree,-473.90884,6.0645843,3.2027035,5.8152795,-2.9882555,-0.021826338,-0.77741486,-1.9148396,-1.5752687,-2.9688764,-0.5475346,-2.3643465,-0.96581185,1.3586037
augmented_audio_dataset\Sheila\shift_backward_1041.wav,Sheila,-459.49292,10.829681,1.2227788,5.7195587,1.9155822,-1.2692707,0.018652612,-1.1654391,0.2948164,1.6070344,0.7589494,-1.2682334,0.7121131,2.0412803
augmented_audio_dataset\Go\speed_down_424.wav,Go,-479.73257,19.59614,6.7436004,2.8652287,0.09881189,-1.1098422,0.5998002,-0.44857705,-1.026989,-1.233941,-1.7770938,-0.713087,-0.8645836,0.7288546
augmented_audio_dataset\Go\noise_426.wav,Go,-319.02203,3.0834172,0.675341,1.5249524,-1.639919,0.6867813,-1.8110847,1.0071882,-1.987059,0.30816373,-2.1454506,0.8476866,-0.8541095,1.7265153
augmented_audio_dataset\Marvin\volume_up_655.wav,Marvin,-569.17816,11.707008,-2.6698122,6.940212,3.2385345,-0.30255172,1.4268922,-4.7243676,0.16969177,2.605896,-1.6049665,-0.8911648,-0.5457958,1.6327349
augmented_audio_dataset\Bed\speed_up_58.wav,Bed,-537.8027,10.470288,-0.067476116,3.750552,3.8591914,-2.1657162,-1.7363697,-2.0759008,0.2743302,0.5064798,-1.8844115,0.5780333,1.0202233,0.5409327
augmented_audio_dataset\Five\volume_down_230.wav,Five,-522.5398,8.419449,-1.4573063,2.2057943,-1.1071814,-2.4396734,-2.8726,-0.34477144,-1.2471596,-1.8984935,0.37229025,0.29597566,-1.8454306,0.40382957
augmented_audio_dataset\On\pitch_down_860.wav,On,-503.50357,14.093112,2.7160819,1.060914,-1.2800832,0.519036,0.35493,0.20477265,-0.22296916,1.6852744,-0.12714092,1.1986984,0.52543557,0.9199692
augmented_audio_dataset\yes\speed_down_1484.wav,yes,-363.18448,22.560627,8.7799225,11.39069,-4.7614536,1.0064858,-10.84158,4.490128,-8.753744,-1.6600505,-3.5321803,-1.1155207,0.8730988,-0.79183894
augmented_audio_dataset\Off\shift_forward_787.wav,Off,-464.9975,12.26068,4.668634,-1.4678009,-1.9224474,-2.4247856,2.1018965,0.17380764,-0.8408931,0.055734575,-0.14495927,0.80478245,1.6303859,2.3911226
augmented_audio_dataset\Six\original_1096.wav,Six,-464.40082,9.47663,18.158182,8.845415,9.278962,1.3865286,-5.109681,3.8990097,0.69930816,0.3046742,-0.13148445,-0.7992451,-0.5682358,3.5603976
processed_recorded_audio\Six\Six_32.wav,Six,-500.9153,5.052495,2.0495224,4.1435566,2.5085018,-0.8649787,-2.705609,0.21888776,0.231274,-1.0290959,0.11538424,0.64112145,-0.5525351,1.3525941
augmented_audio_dataset\Bed\reversed_59.wav,Bed,-478.63208,12.659881,-1.062703,3.1996322,3.831913,-1.4378994,-2.9909263,-0.70351446,0.5358416,-1.027914,-0.5580283,0.5114761,0.49781892,0.86831677
augmented_audio_dataset\Backward\volume_down_29.wav,Backward,-490.01398,23.405752,0.49731833,-1.9994084,0.81061995,-4.0006833,-4.7171245,-2.829591,-2.6279473,-2.9096534,-0.7399198,-1.7089615,-1.2981511,-0.17174928
augmented_audio_dataset\Five\shift_backward_243.wav,Five,-422.47174,8.591731,-1.1862093,0.5971436,-0.70498854,-1.6702967,-1.9883314,-1.2265574,-1.8840421,-0.6127902,-0.28207192,-0.72560483,-1.3597178,-0.42139027
augmented_audio_dataset\Six\reversed_1093.wav,Six,-493.93372,1.0730412,6.593554,5.210364,3.4377775,1.7406082,-3.7279694,0.86683625,1.052256,0.13481571,0.49158254,0.24245153,-0.12739493,2.7604043
augmented_audio_dataset\House\volume_down_524.wav,House,-519.61633,14.371417,2.9397633,1.763617,-1.7486687,-0.1720954,1.7550799,0.6111378,-0.32653907,-0.05921545,-0.29861996,-0.24879964,0.22008453,0.34942865
augmented_audio_dataset\Sheila\shift_forward_1060.wav,Sheila,-486.46048,9.035259,2.388343,3.2097976,0.88324594,-0.81524014,0.2941899,-1.5057633,0.058654092,0.2992794,0.93516004,1.6727276,-0.05932334,1.3079338
augmented_audio_dataset\Nine\pitch_down_720.wav,Nine,-530.24585,17.198355,-2.5322325,9.808713,3.5012503,-2.0228772,2.1971502,0.8252613,-2.8134341,0.9740488,-0.20725897,1.3575668,-2.0208752,-1.297816
augmented_audio_dataset\Dog\original_113.wav,Dog,-431.17392,12.1741085,1.2316365,-0.4195281,-1.7806653,-1.1652261,-1.4470502,-0.4163144,-2.1432884,-1.5371778,-0.49596974,-0.12347312,-0.5433018,-0.054603897
augmented_audio_dataset\House\pitch_down_499.wav,House,-504.314,7.0837245,3.6632955,3.4180987,-1.0536519,2.0936787,-0.4266466,0.826715,0.18909694,-0.2071523,-2.4865618,2.7585042,-0.8907622,0.5045808
augmented_audio_dataset\Sheila\speed_up_1065.wav,Sheila,-527.1817,9.465655,-0.16942482,3.6680682,0.82446384,-0.94626206,-0.6028136,-0.29194817,0.3213299,1.0655088,1.4039352,0.97319096,-0.7992618,2.2580085
augmented_audio_dataset\Six\shift_backward_1096.wav,Six,-464.33868,9.408176,18.057358,8.789378,9.233605,1.2873044,-5.114601,3.878268,0.7126266,0.29922655,-0.12696357,-0.7949244,-0.59882545,3.5412831
augmented_audio_dataset\Learn\pitch_up_578.wav,Learn,-481.1695,13.48817,-0.0062242253,2.92818,1.2359165,-0.9136649,-2.6909924,-3.7139776,1.065131,-0.20955697,0.7441791,0.06882691,-0.13092798,1.6443311
augmented_audio_dataset\Go\original_431.wav,Go,-469.82214,13.663227,4.0970445,0.72118354,-0.21168232,-0.62897664,0.46325886,0.15008998,-0.72197026,-0.93318653,-1.652393,-0.37238255,0.10266061,0.046233196
